mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
04000001	00040005	000a004a	000002f1
04000000	00040005	000b004b	000002f5
04000001	00040005	000c004c	00000349
04000000	00040005	000d004d	0000034d
04000001	00040005	000e004e	000003a1
04000000	00040005	000f004f	000003a5
05000000	00000000	00000050	000002c1
05000001	00000000	00010051	000002c5
05000000	00000000	00020052	00000319
05000001	00000000	00030053	0000031d
05000000	00000000	00040054	00000371
05000001	00000000	00050055	00000375
05000000	00000000	00060056	000003c9
05000001	00000000	00070057	000003cd
05000000	00000000	00080058	00000479
05000000	00000000	00090059	00000421
05000001	00000000	000a005a	00000425
05000001	00000000	000b005b	0000047d
05000000	00000000	000c005c	000004d1
05000001	00000000	000d005d	000004d5
05000000	00000000	000e005e	00000529
05000001	00000000	000f005f	0000052d
06000001	00010000	00000060	000002ce
06000000	00010000	00010061	000002d2
06000001	00010000	00020062	00000326
06000000	00010000	00030063	0000032a
06000001	00010000	00040064	0000037e
06000000	00010000	00050065	00000382
06000001	00010000	00060066	000003d6
06000000	00010000	00070067	000003da
06000001	00010000	00080068	0000042e
06000000	00010000	00090069	00000432
06000001	00010000	000a006a	00000486
06000000	00010000	000b006b	0000048a
06000001	00010000	000c006c	000004de
06000000	00010000	000d006d	000004e2
06000001	00010000	000e006e	00000536
06000000	00010000	000f006f	0000053a
07000001	00020000	00000070	0000036f
07000000	00020000	00010071	0000037b
07000001	00020000	00020072	000003c7
07000000	00020000	00030073	000003d3
07000001	00020000	00040074	0000041f
07000000	00020000	00050075	0000042b
07000001	00020000	00060076	00000477
07000000	00020000	00070077	00000483
07000001	00020000	00080078	000004cf
07000000	00020000	00090079	000004db
07000001	00020000	000a007a	00000527
07000000	00020000	000b007b	00000533
07000000	00020000	000c007c	0000058b
07000001	00020000	000d007d	000005d7
07000000	00020000	000e007e	000005e3
07000001	00020000	000f007f	0000057f
08000001	00030007	00000000	000003f0
08000000	00030007	00010001	000003fc
08000001	00030007	00020002	00000448
08000000	00030007	00030003	00000454
08000001	00030007	00040004	000004a0
08000000	00030007	00050005	000004ac
08000001	00030007	00060006	000004f8
08000000	00030007	00070007	00000504
08000001	00030007	00080008	00000550
08000000	00030007	00090009	0000055c
08000001	00030007	000a000a	000005a8
08000000	00030007	000b000b	000005b4
08000000	00030007	000c000c	0000060c
08000001	00030007	000d000d	00000658
08000000	00030007	000e000e	00000664
08000001	00030007	000f000f	00000600
09000001	00040006	00000010	00000471
09000000	00040006	00010011	0000047d
09000001	00040006	00020012	000004c9
09000000	00040006	00030013	000004d5
09000001	00040006	00040014	00000521
09000000	00040006	00050015	0000052d
09000001	00040006	00060016	00000579
09000000	00040006	00070017	00000585
09000001	00040006	00080018	000005d1
09000000	00040006	00090019	000005dd
09000001	00040006	000a001a	00000629
09000000	00040006	000b001b	00000635
09000000	00040006	000c001c	0000068d
09000001	00040006	000d001d	000006d9
09000000	00040006	000e001e	000006e5
09000001	00040006	000f001f	00000681
0a000000	00000001	00000020	00000581
0a000001	00000001	00010021	00000585
0a000000	00000001	00020022	000005d9
0a000001	00000001	00030023	000005dd
0a000000	00000001	00040024	00000631
0a000001	00000001	00050025	00000635
0a000000	00000001	00060026	00000689
0a000001	00000001	00070027	0000068d
0a000000	00000001	00080028	000006e1
0a000001	00000001	00090029	000006e5
0a000000	00000001	000a002a	00000739
0a000001	00000001	000b002b	0000073d
0a000000	00000001	000c002c	00000791
0a000001	00000001	000d002d	00000795
0a000000	00000001	000e002e	000007e9
0a000001	00000001	000f002f	000007ed
0b000001	00010001	00000030	0000058e
0b000000	00010001	00010031	00000592
0b000001	00010001	00020032	000005e6
0b000000	00010001	00030033	000005ea
0b000001	00010001	00040034	0000063e
0b000000	00010001	00050035	00000642
0b000001	00010001	00060036	00000696
0b000000	00010001	00070037	0000069a
0b000001	00010001	00080038	000006ee
0b000000	00010001	00090039	000006f2
0b000001	00010001	000a003a	00000746
0b000000	00010001	000b003b	0000074a
0b000001	00010001	000c003c	0000079e
0b000000	00010001	000d003d	000007a2
0b000001	00010001	000e003e	000007f6
0b000000	00010001	000f003f	000007fa
0c000001	00020001	00000040	00000637
0c000000	00020001	00010041	00000643
0c000001	00020001	00020042	0000068f
0c000000	00020001	00030043	0000069b
0c000001	00020001	00040044	000006e7
0c000000	00020001	00050045	000006f3
0c000001	00020001	00060046	0000073f
0c000000	00020001	00070047	0000074b
0c000001	00020001	00080048	00000797
0c000000	00020001	00090049	000007a3
0c000001	00020001	000a004a	000007ef
0c000000	00020001	000b004b	000007fb
0c000000	00020001	000c004c	00000853
0c000001	00020001	000d004d	0000089f
0c000000	00020001	000e004e	000008ab
0c000001	00020001	000f004f	00000847
0d000001	00030000	00000050	000006b8
0d000000	00030000	00010051	000006bc
0d000001	00030000	00020052	00000710
0d000000	00030000	00030053	00000714
0d000001	00030000	00040054	00000768
0d000000	00030000	00050055	0000076c
0d000001	00030000	00060056	000007c0
0d000000	00030000	00070057	000007c4
0d000001	00030000	00080058	00000818
0d000000	00030000	00090059	0000081c
0d000001	00030000	000a005a	00000870
0d000000	00030000	000b005b	00000874
0d000000	00030000	000c005c	000008cc
0d000001	00030000	000d005d	00000920
0d000000	00030000	000e005e	00000924
0d000001	00030000	000f005f	000008c8
0e000001	00040007	00000060	00000739
0e000000	00040007	00010061	0000073d
0e000001	00040007	00020062	00000791
0e000000	00040007	00030063	00000795
