mem size init: gart size :1fdff000 vram size: s:40000000 visible:f8ca000
mem size init: gart size :509Mbytes vram size: s:1024Mbytes visible:248Mbytes
   888:	0.499156	-0.499719	0.500281	-0.500843
   892:	 0.49916	-0.49972	0.500279	-0.500839
   896:	0.499164	-0.499721	0.500278	-0.500835
   900:	0.499168	-0.499722	0.500277	-0.500832
   904:	0.499171	-0.499724	0.500276	-0.500828
   908:	0.499175	-0.499725	0.500274	-0.500824
   912:	0.499179	-0.499726	0.500273	-0.500821
   916:	0.499182	-0.499727	0.500272	-0.500817
   920:	0.499186	-0.499728	0.500271	-0.500813
   924:	0.499189	-0.49973	 0.50027	-0.50081
   928:	0.499193	-0.499731	0.500269	-0.500807
   932:	0.499196	-0.499732	0.500267	-0.500803
   936:	  0.4992	-0.499733	0.500266	 -0.5008
   940:	0.499203	-0.499734	0.500265	-0.500796
   944:	0.499206	-0.499735	0.500264	-0.500793
   948:	 0.49921	-0.499736	0.500263	-0.50079
   952:	0.499213	-0.499737	0.500262	-0.500786
   956:	0.499216	-0.499739	0.500261	-0.500783
   960:	 0.49922	-0.49974	 0.50026	-0.50078
   964:	0.499223	-0.499741	0.500259	-0.500776
   968:	0.499226	-0.499742	0.500258	-0.500773
   972:	0.499229	-0.499743	0.500256	-0.50077
   976:	0.499232	-0.499744	0.500255	-0.500767
   980:	0.499236	-0.499745	0.500254	-0.500764
   984:	0.499239	-0.499746	0.500253	-0.500761
   988:	0.499242	-0.499747	0.500252	-0.500758
   992:	0.499245	-0.499748	0.500251	-0.500755
   996:	0.499248	-0.499749	 0.50025	-0.500752
  1000:	0.499251	-0.49975	0.500249	-0.500749
  1004:	0.499254	-0.499751	0.500248	-0.500746
  1008:	0.499257	-0.499752	0.500247	-0.500743
  1012:	 0.49926	-0.499753	0.500246	-0.50074
  1016:	0.499263	-0.499754	0.500245	-0.500737
  1020:	0.499265	-0.499755	0.500244	-0.500734
  1024:	0.499268	-0.499756	0.500243	-0.500731
  1028:	0.499271	-0.499757	0.500243	-0.500728
